seed	Anaeromyxobacter_dehalogenans	Archangium_gephyra	Archangium_violaceum	Bradymonadales_B210	Bacillus_subtilis	Bacteriovorax_stolpii	Bdellovibrio_bacteriovorus	Bdellovibrio_bacteriovorus_109J	Bdellovibrio_bacteriovorus_HD100	Bdellovibrio_exovorus	Chondromyces_apiculatus	Chondromyces_crocatus	Corallococcus_coralloides	Cupriavidus_necator	Cystobacter_ferrugineus	Cystobacter_fuscus	Cytophaga_hutchinsonii	Desulfuromonas_acetexigens	Desulfuromonas_acetoxidans	Desulfuromonas_soudanensis	Ensifer_adhaerens	Bradymonadales_FA350	Fibrella_aestuarina	Fibrisoma_limi	Flavobacterium_johnsoniae	Geoalkalibacter_ferrihydriticus	Geoalkalibacter_subterraneus	Geobacter_anodireducens	Geobacter_bemidjiensis	Geobacter_bremensis	Geobacter_daltonii	Geobacter_lovleyi	Geobacter_metallireducens	Geobacter_pelophilus	Geobacter_pickeringii	Geobacter_soli	Geobacter_sulfurreducens	Geobacter_thiogenes	Geobacter_uraniireducens	Geopsychrobacter_electrodiphilus	Halobacteriovorax_marinus	Halobacteriovorax_sp_BSW11	Herpetosiphon_aurantiacu	Hyalangium_minutum	Lysobacter_antibioticus	Lysobacter_enzymogenes	Malonomonas_rubra	Micavibrio_aeruginosavorus	Micavibrio_aeruginosavorus_ARL	Micavibrio_aeruginosavorus_EPB	Micrococcus_luteus	Myxococcus_fulvus	Myxococcus_hansupus	Myxococcus_stipitatus	Myxococcus_virescens	Myxococcus_xanthus	Myxococcus_xanthus_DK1622	Pajaroellobacter_abortibovis	Pelobacter_acetylenicus	Pelobacter_carbinolicus	Pelobacter_propionicus	Pelobacter_seleniigenes	Plesiocystis_pacifica	Pseudobacteriovorax_antillogorgiicola	Bradymonadales_SEH01	Sandaracinus_amylolyticus	Saprospira_grandis	Sorangium_cellulosum	Stenotrophomonas_maltophilia	Stigmatella_aurantiaca	Stigmatella_erecta	Bradymonadales_TMQ3	Bradymonadales_TMQ4	Bradymonadales_TMQ1	Bradymonadales_TMQ2	Bradymonadales_V1718	Vampirovibrio_chlorellavorus	Vulgatibacter_incomptus	Bradymonadales_YN101	Bradymonadales_bin_CSSed10_215	Bradymonadales_bin_CSSed11_191	Bradymonadales_bin_T3Sed10_190	Bradymonadales_bin_T3Sed10_204
Excinuclease ABC subunit A paralog in greater Bacteroides group	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Excinuclease ABC subunit A paralog of unknown function	0	3	2	0	0	0	0	0	0	0	1	1	2	0	2	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0	1	0	1	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0
Excinuclease ABC subunit A, dimeric form	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Excinuclease ABC subunit A	1	1	1	2	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	2	2	2	1	2	1	1	1	2	2	2	2	2	2	1	2	0	0	0	1
Excinuclease ABC subunit B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Excinuclease ABC subunit C	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	2	0	1	1	0	1	1	1
Exodeoxyribonuclease V beta chain (EC 3.1.11.5)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	3	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	1	1	0	0	1	0	0	1	1	1	1	2	0	1	1	0	1	1	1
Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	2	0	1	1	0	2	0	2
Single-stranded-DNA-specific exonuclease RecJ, Bacteriophage SPBc2-type	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA mismatch repair endonuclease MutH	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	0	0	1	1	0	1	0	1
DNA repair exonuclease family protein YhaO	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Endonuclease IV (EC 3.1.21.2)	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
Endonuclease V (EC 3.1.21.7)	0	2	2	0	1	0	0	0	0	0	1	1	2	0	2	2	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	1	0	0	0	0	2	2	2	2	2	2	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
Exodeoxyribonuclease III (EC 3.1.11.2)	1	3	2	1	1	1	2	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	1	2	2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	2	0	2	1	2	2	2	2	2	2	2	2	2	2	0	1	1	1	1	2	1	1	4	1	1	2	1	1	1	1	1	1	2	1	2	1	1	0	1	0
Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	0	0	1	1	1	1	1	2	2	1	1	1	1	1	1	1	3	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0
Exonuclease SbcC	5	1	2	1	1	0	0	1	1	0	2	0	1	1	2	3	1	2	1	2	0	3	1	1	0	0	1	1	1	1	1	1	0	1	0	1	2	0	1	1	1	0	1	2	0	0	1	0	0	0	1	1	2	1	1	1	1	0	1	1	1	1	2	0	1	4	1	2	1	3	2	1	1	1	1	1	0	1	1	1	0	1	1
Exonuclease SbcD	2	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	2	1	2	0	1	1	1	0	1	1	3	1	1	1	0	1	1	0	2	2	0	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	2	1	1	1	0	1	2	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1
Very-short-patch mismatch repair endonuclease (G-T specific)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ribonuclease HII (EC 3.1.26.4)	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Deoxyribonuclease TatD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative deoxyribonuclease YcfH	2	2	2	1	1	1	2	2	2	2	1	1	2	1	2	2	1	2	1	2	1	1	1	1	1	3	2	1	2	2	2	2	1	2	1	1	1	2	2	1	1	1	1	2	0	0	1	1	1	1	1	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	0	2	2	1	1	1	1	2	1	1	1	3	1	2	2
Putative deoxyribonuclease similar to YcfH, type 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plasmid conjugative transfer endonuclease	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus nuclease (SNase) domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Membrane-associated protein containing RNA-binding TRAM domain and ribonuclease PIN-domain, YacL B.subtilis ortholog	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribonuclease P protein component (EC 3.1.26.5)	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
Ribonuclease E (EC 3.1.26.12)	3	4	2	2	0	0	0	0	0	0	2	1	3	2	4	2	0	1	1	1	1	1	1	0	0	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	0	0	0	2	1	0	1	0	0	1	0	4	3	3	3	4	4	1	1	1	1	1	2	1	4	1	0	1	1	2	1	3	4	3	4	1	1	1	1	1	3	0	3
Ribonuclease M5 (EC 3.1.26.8)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3'-to-5' exoribonuclease RNase R	1	1	2	0	1	0	1	1	1	1	3	3	2	1	2	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	2	0	0	1	2	2	2	1	3	2	2	2	2	2	1	1	1	1	1	1	0	0	2	1	2	1	2	2	0	0	0	0	1	0	1	0	0	0	0	1
3'-to-5' oligoribonuclease (orn)	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	2	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0
3'-to-5' oligoribonuclease B, Bacillus type	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	2	1	2	2	0	1	1	1	1	1	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	2	2	2	2	1	3	2	1	1	1	1	1	1	1	1	3	1	3	1	1	1	1	2	1	3	2	3	1	1	0	2	2	1	1	1	1
Exoribonuclease II (EC 3.1.13.1)	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1
FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0
Ribonuclease E inhibitor RraA	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Ribonuclease I precursor (EC 3.1.27.6)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribonuclease HI (EC 3.1.26.4)	1	1	1	1	0	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1
Ribonuclease HI-related protein 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribonuclease HIII (EC 3.1.26.4)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Ribonuclease BN (EC 3.1.-.-)	2	4	4	2	1	2	1	2	2	2	2	2	3	3	4	5	2	1	1	2	1	3	4	4	2	2	1	2	2	2	2	1	1	2	1	1	1	2	3	1	3	2	2	5	2	2	2	0	0	0	1	3	3	3	5	3	3	0	1	1	1	1	1	1	2	3	1	2	2	4	4	2	2	2	2	3	1	2	4	0	3	1	3
Ribonuclease PH (EC 2.7.7.56)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
Ribonuclease T (EC 3.1.13.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribonuclease Z (EC 3.1.26.11)	2	2	1	1	1	0	0	0	0	0	1	1	1	0	1	2	1	0	0	0	0	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1
IncQ plasmid conjugative transfer DNA nicking endonuclease TraR (pTi VirD2 homolog)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
